Friday
,"Andy C presents One 7 Four",ARC,Teletech,Misfit,"Zenless Zone Zero Stage","Gopuff presents Steel Yard","Runway presented by SHEIN hosted by Paradise","Girls Don't Sync Takeover","Pepsi Max"
14:00," "," "," "," "," "," "," "," "," "
14:30," "," "," "," "," "," "," "," "," "
15:00,"Bugwell
(15:00 - 15:45)"," ","Danielle Ciuro
(15:00 - 16:00)","TBA
(15:00 - 17:00)","Gareth Wyn
(15:00 - 16:00)","Beccs Vernon
(15:00 - 16:00)","M-High
(15:00 - 16:30)","Jade Edwards
(15:00 - 16:00)","DKH
(15:00 - 16:00)"
15:30,"James Hiraeth
(15:45 - 16:30)"," "," "," "," "," "," "," "," "
16:00," "," ","Alex Farrell
(16:00 - 17:30)"," ","Cloonee
(16:00 - 17:30)","Adrianna
(16:00 - 17:00)"," ","Continental GT
(16:00 - 17:00)","Leena Punks
(16:00 - 17:00)"
16:30,"Randall B2B Benny L
(16:30 - 17:30)"," "," "," "," "," ","Alisha B2B Luke Dean
(16:30 - 18:00)"," "," "
17:00," "," "," ","David Rust
(17:00 - 18:00)"," ","Marie Vaunt
(17:00 - 18:30)"," ","Murphy’s Law
(17:00 - 18:30)","Factor B
(17:00 - 18:00)"
17:30,"Lens
(17:30 - 18:30)"," ","AZYR
(17:30 - 18:45)"," ","SOSA
(17:30 - 19:00)"," "," "," "," "
18:00," ","Amelia Preston
(18:00 - 18:30)"," ","Multunes
(18:00 - 19:00)"," "," ","East Ends Dubs
(18:00 - 19:30)"," ","Markus Schulz
(18:00 - 19:00)"
18:30,"Turno
(18:30 - 19:30)","Scooter
(18:30 - 19:30)","Sara Landry
(18:45 - 20:00)"," "," ","Eli Brown
(18:30 - 20:00)"," ","p-rallel
(18:30 - 20:00)"," "
19:00," "," "," ","Darren Styles
(19:00 - 20:00)","Steve Angello
(19:00 - 21:00)"," "," "," ","Dash Berlin
(19:00 - 20:00)"
19:30,"Dimension
(19:30 - 20:30)","Timmy Trumpet
(19:45 - 21:00)"," "," "," "," ","Hot Since 82
(19:30 - 21:00)"," "," "
20:00," "," ","blk.
(20:00 - 21:30)","Will Sparks
(20:00 - 21:00)"," ","Enrico Sangiuliano
(20:00 - 21:30)"," ","Paige Tomlinson
(20:00 - 21:30)","Giuseppe Ottaviani
(20:00 - 21:00)"
20:30,"Andy C
(20:30 - 22:00)"," "," "," "," "," "," "," "," "
21:00," "," "," ","Ben Nicky
(21:00 - 22:15)","Fisher
(21:00 - 23:00)"," ","Jamie Jones
(21:00 - 23:00)"," ","Craig Connelly
(21:00 - 22:00)"
21:30," ","Hardwell
(21:30 - 23:00)","Brutalismus 3000 (Live)
(21:30 - 23:00)"," "," ","Charlotte de Witte
(21:30 - 23:00)"," ","Girls Don't Sync
(21:30 - 23:00)"," "
22:00,"Mozey
(22:00 - 23:00)"," "," ","Sub Zero Project
(22:15 - 23:00)"," "," "," "," ","Renegade System
(22:00 - 23:00)"
22:30," "," "," "," "," "," "," "," "," "
23:00," "," "," "," "," "," "," "," "," "
23:30," "," "," "," "," "," "," "," "," "
00:00," "," "," "," "," "," "," "," "," "
00:30," "," "," "," "," "," "," "," "," "
01:00," "," "," "," "," "," "," "," "," "
01:30," "," "," "," "," "," "," "," "," "
02:00," "," "," "," "," "," "," "," "," "
02:30," "," "," "," "," "," "," "," "," "
03:00," "," "," "," "," "," "," "," "," "
03:30," "," "," "," "," "," "," "," "," "
04:00," "," "," "," "," "," "," "," "," "
