Saturday
,"Zenless Zone Zero Stage","Hospitality hosted by The Garden Party",ARC,"Gopuff presents Steel Yard","Runway presented by SHEIN hosted by Trick",Sub_Aural,XXL,Warehouse,"Goodgreef Xtra-Hard","Pepsi presents Rong"
12:00," "," "," "," "," "," "," "," "," "," "
12:30," "," "," "," "," "," "," "," "," "," "
13:00," "," "," "," "," "," "," "," "," "," "
13:30," "," "," "," "," "," "," "," "," "," "
14:00,"Sān-Z
(14:00 - 15:00)","Pete James
(14:00 - 15:00)","Ricco
(14:00 - 15:00)","George Last
(14:00 - 14:45)","Lewis Taylor
(14:00 - 15:30)","TBA
(14:00 - 15:00)","Rohar
(14:00 - 15:00)","TBA
(14:00 - 14:45)","Healy
(14:00 - 16:00)","Anselli
(14:00 - 15:30)"
14:30," "," "," ","Phonix
(14:45 - 15:30)"," "," "," ","TBA
(14:45 - 15:30)"," "," "
15:00,"Beauz
(15:00 - 16:00)","Murfi
(15:00 - 16:00)","Millie Cotton
(15:00 - 16:30)"," "," ","TBA
(15:00 - 16:00)","Leaha
(15:00 - 17:00)"," "," "," "
15:30," "," "," ","Scaramouche
(15:30 - 16:30)","Raphi
(15:30 - 17:00)"," "," ","James Organ
(15:30 - 17:00)"," ","Maria Healy
(15:30 - 16:45)"
16:00,"Armin van Buuren
(16:00 - 18:00)","Rob Crouch
(16:00 - 17:30)"," "," "," ","Yako
(16:00 - 17:00)"," "," ","Kaos Brothers
(16:00 - 17:00)"," "
16:30," "," ","Tyson O’Brien
(16:30 - 18:00)","It’s Murph
(16:30 - 18:00)"," "," "," "," "," ","Xjaro & Pitch
(16:45 - 18:00)"
17:00," "," "," "," ","Patrick Topping
(17:00 - 18:30)","North Base
(17:00 - 18:30)","Faster Horses
(17:00 - 18:30)","Chris Avantgarde
(17:00 - 18:30)","MDDLTN & Morgan Kasiera
(17:00 - 18:00)"," "
17:30," ","TBA
(17:30 - 18:30)"," "," "," "," "," "," "," "," "
18:00,"Kimmic
(18:00 - 18:45)"," ","Eliza Rose
(18:00 - 19:30)","Pete Tong
(18:00 - 19:30)"," "," "," "," ","Phil Mackintosh
(18:00 - 19:00)","Amy Wiles
(18:00 - 19:15)"
18:30," "," "," "," ","John Summit
(18:30 - 20:00)","Harriet Jaxxon
(18:30 - 19:30)","Vladimir Dubyshkin
(18:30 - 19:30)","Franky Wah
(18:30 - 20:00)"," "," "
19:00,"Martin Garrix
(19:15 - 20:45)"," "," "," "," "," "," "," ","Andy Whitby
(19:00 - 20:00)","Daxson
(19:15 - 20:30)"
19:30," "," ","MK
(19:30 - 21:00)","Ewan McVicar
(19:30 - 21:00)"," ","Koven
(19:30 - 20:30)","Funk Tribu
(19:30 - 21:30)"," "," "," "
20:00," ","Nino Violin
(20:00 - 21:00)"," "," ","Prospa
(20:00 - 21:30)"," "," ","Mathame
(20:00 - 21:30)","Olly James
(20:00 - 21:00)"," "
20:30," "," "," "," "," ","Friction
(20:30 - 21:30)"," "," "," ","Billy Gillies
(20:30 - 22:00)"
21:00,"Third Party
(21:00 - 22:30)","Molly Mouse
(21:00 - 22:30)"," ","Mochakk
(21:00 - 22:30)"," "," "," "," ","Paul Clark
(21:00 - 22:00)"," "
21:30," "," ","Calvin Harris
(21:30 - 23:00)"," ","Solardo
(21:30 - 23:00)","Hedex & Eksman
(21:30 - 22:30)","TRYM
(21:30 - 23:30)","Gorgon City
(21:30 - 23:00)"," "," "
22:00," "," "," "," "," "," "," "," ","DJ Isaac
(22:00 - 23:00)","Bryan Kearney
(22:00 - 23:30)"
22:30,"Dimitri Vegas & Like Mike
(22:30 - 23:30)","Rusti
(22:30 - 00:00)"," ","Peggy Gou
(22:30 - 00:00)"," ","Kings of the Rollers & Inja
(22:30 - 23:45)"," "," "," "," "
23:00," "," "," "," "," "," "," "," ","DA TWEEKAZ
(23:00 - 00:00)"," "
23:30,"Ben Hemsley
(23:30 - 01:00)"," "," "," "," ","Hybrid Minds & Tempza
(23:45 - 00:45)","DJ Daddy Trance
(23:30 - 01:00)"," "," ","Symmetrik
(23:30 - 00:30)"
00:00," ","Pete James
(00:00 - 02:00)"," ","Eric Prydz
(00:00 - 02:00)"," "," "," "," ","Coone
(00:00 - 01:00)"," "
00:30," "," "," "," "," ","Sub Focus
(00:45 - 02:00)"," "," "," ","Shugz
(00:30 - 01:30)"
01:00,"Tiësto
(01:00 - 02:30)"," "," "," "," "," ","I Hate Models
(01:00 - 02:30)"," ","Creeds & Helen KA
(01:00 - 02:00)"," "
01:30," "," "," "," "," "," "," "," "," ","Maddix
(01:30 - 02:45)"
02:00," "," "," ","Patrick Topping B2B Solomun
(02:00 - 04:00)"," ","Bou & B Live 247
(02:00 - 03:00)"," "," ","Joey Riot
(02:00 - 03:00)"," "
02:30,"Cassö B2B Daire
(02:30 - 04:00)"," "," "," "," "," ","Nico Moreno
(02:30 - 04:00)"," "," ","TBA
(02:45 - 04:00)"
03:00," "," "," "," "," ","K Motionz
(03:00 - 04:00)"," "," ","D-WILLZ
(03:00 - 04:00)"," "
03:30," "," "," "," "," "," "," "," "," "," "
04:00," "," "," "," "," "," "," "," "," "," "
