Sunday
,ARC,"Runway presented by SHEIN","Gopuff presents Steel Yard","Fatboy Slim Loves","Hospitality hosted by The Garden Party",Pepsi,"Full On","Our House",Teletech,"Zenless Zone Zero Stage"
12:00,"Dean Peet
(12:00 - 13:00)","TBA
(12:00 - 13:00)","Laalsa
(12:00 - 12:45)","TBA
(12:00 - 13:30)","Pete James
(12:00 - 14:00)","Jay Hayton
(12:00 - 13:00)","Lee Follon
(12:00 - 13:30)","Genesi
(12:00 - 13:15)"," ","TBA
(12:00 - 12:45)"
12:30," "," ","Mikonyx
(12:45 - 13:30)"," "," "," "," "," "," ","TBA
(12:45 - 13:30)"
13:00,"Jazzy
(13:00 - 14:00)","TBA
(13:00 - 14:00)"," "," "," ","Danny Eaton
(13:00 - 14:00)"," ","Ferreck Dawn
(13:15 - 14:30)","Billy Does
(13:00 - 14:00)"," "
13:30," "," ","Toriah
(13:30 - 14:15)","No End
(13:30 - 14:30)"," "," ","Hannah Taylor
(13:30 - 15:00)"," "," ","Carta
(13:30 - 14:30)"
14:00,"Sam Divine
(14:00 - 15:30)","Joella Jackson
(14:00 - 15:30)","TBA
(14:15 - 15:00)"," "," ","Tyler Jack
(14:00 - 15:00)"," "," ","Sikoti
(14:00 - 15:30)"," "
14:30," "," "," ","TBA
(14:30 - 15:30)"," "," "," ","Mistajam
(14:30 - 15:45)"," ","Sammy Virji
(14:30 - 15:30)"
15:00," "," ","Matrefakt
(15:00 - 16:30)"," "," ","Nilsix
(15:00 - 16:15)","Reklus
(15:00 - 16:15)"," "," "," "
15:30,"BELTERS ONLY
(15:30 - 17:00)","Sarah Story
(15:30 - 17:00)"," ","Pretty Girl
(15:30 - 17:00)"," "," "," ","Tita Lau
(15:45 - 17:15)","Kander
(15:30 - 17:00)","Hannah Laing
(15:30 - 17:00)"
16:00," "," "," "," ","Molly Mouse
(16:00 - 18:00)","Nifra
(16:15 - 17:30)","Klubfiller ft MC Storm
(16:15 - 17:30)"," "," "," "
16:30," "," ","Layla Benitez
(16:30 - 18:00)"," "," "," "," "," "," "," "
17:00,"Example
(17:00 - 18:00)","Josh Baker
(17:00 - 18:30)"," ","Eats Everything
(17:00 - 18:30)"," "," "," ","Hugel
(17:15 - 18:45)","Anetha
(17:00 - 18:30)"," "
17:30," "," "," "," "," ","Aly & Fila
(17:30 - 19:00)","Kutski
(17:30 - 18:45)"," "," ","Chase & Status
(17:30 - 18:45)"
18:00," "," ","Kevin de Vries
(18:00 - 19:30)"," ","Jesse James B2B Mr Jay
(18:00 - 20:00)"," "," "," "," "," "
18:30,"CHURCH SERVICE
(18:30 - 20:00)","PAWSA
(18:30 - 20:00)"," ","Salute
(18:30 - 20:30)"," "," ","Alex Kidd
(18:45 - 20:00)","Meduza
(18:45 - 20:15)","Kobosil
(18:30 - 20:00)"," "
19:00," "," "," "," "," ","Ferry Corsten Presents Gouryella
(19:00 - 20:30)"," "," "," ","Max Dean
(19:00 - 20:00)"
19:30," "," ","Artbat
(19:30 - 21:00)"," "," "," "," "," "," "," "
20:00,"Lufthaus
(20:00 - 21:00)","ANOTR
(20:00 - 21:30)"," "," ","Murfi
(20:00 - 22:00)"," ","D-Block & S-te-Fan
(20:00 - 21:00)","James Hype
(20:15 - 21:45)","Charlie Sparks
(20:00 - 21:30)","Chris Stussy
(20:00 - 21:30)"
20:30," "," "," ","Barry Can't Swim
(20:30 - 21:30)"," ","Sneijder Presents Alt1
(20:30 - 22:00)"," "," "," "," "
21:00," "," ","Camelphat
(21:00 - 23:00)"," "," "," ","TNT
(21:00 - 22:00)"," "," "," "
21:30,"Alesso
(21:30 - 23:00)","Bicep Present Chroma (AV DJ Set)
(21:30 - 23:00)"," ","Fatboy Slim
(21:30 - 23:00)"," "," "," ","Low Steppa
(21:45 - 23:00)","999999999
(21:30 - 23:00)","Michael Bibi
(21:30 - 23:00)"
22:00," "," "," "," "," ","Fish56Octagon
(22:00 - 23:00)","Rooler
(22:00 - 23:00)"," "," "," "
22:30," "," "," "," "," "," "," "," "," "," "
23:00," "," "," "," "," "," "," "," "," "," "
23:30," "," "," "," "," "," "," "," "," "," "
00:00," "," "," "," "," "," "," "," "," "," "
00:30," "," "," "," "," "," "," "," "," "," "
01:00," "," "," "," "," "," "," "," "," "," "
01:30," "," "," "," "," "," "," "," "," "," "
02:00," "," "," "," "," "," "," "," "," "," "
02:30," "," "," "," "," "," "," "," "," "," "
03:00," "," "," "," "," "," "," "," "," "," "
03:30," "," "," "," "," "," "," "," "," "," "
04:00," "," "," "," "," "," "," "," "," "," "
